"Google API", "Google Scope"
"IAM Service Account Credentials API, v1", https://www.googleapis.com/auth/cloud-platform
"Identity and Access Management (IAM) API, v1", https://www.googleapis.com/auth/cloud-platform
"Indexing API, v3", https://www.googleapis.com/auth/indexing
"Kubernetes Engine API, v1", https://www.googleapis.com/auth/cloud-platform
"Library Agent API, v1", https://www.googleapis.com/auth/cloud-platform
"Managed Service for Microsoft Active Directory API, v1", https://www.googleapis.com/auth/cloud-platform
"Manufacturer Center API, v1", https://www.googleapis.com/auth/manufacturercenter
"Network Management API, v1", https://www.googleapis.com/auth/cloud-platform
"OS Config API, v1", https://www.googleapis.com/auth/cloud-platform
"OpenID Connect, 1.0", openid
"OpenID Connect, 1.0", profile
"OpenID Connect, 1.0", email
"PageSpeed Insights API, v5", openid
"People API, v1", https://www.googleapis.com/auth/contacts
"People API, v1", https://www.googleapis.com/auth/contacts.other.readonly
"People API, v1", https://www.googleapis.com/auth/contacts.readonly
"People API, v1", https://www.googleapis.com/auth/directory.readonly
"People API, v1", https://www.googleapis.com/auth/user.addresses.read
"People API, v1", https://www.googleapis.com/auth/user.birthday.read
"People API, v1", https://www.googleapis.com/auth/user.emails.read
"People API, v1", https://www.googleapis.com/auth/user.gender.read
"People API, v1", https://www.googleapis.com/auth/user.organization.read
"People API, v1", https://www.googleapis.com/auth/user.phonenumbers.read
"People API, v1", https://www.googleapis.com/auth/userinfo.email
"People API, v1", https://www.googleapis.com/auth/userinfo.profile
"Photos Library API, v1", https://www.googleapis.com/auth/photoslibrary
"Photos Library API, v1", https://www.googleapis.com/auth/photoslibrary.appendonly
"Photos Library API, v1", https://www.googleapis.com/auth/photoslibrary.edit.appcreateddata
"Photos Library API, v1", https://www.googleapis.com/auth/photoslibrary.readonly
"Photos Library API, v1", https://www.googleapis.com/auth/photoslibrary.readonly.appcreateddata
"Photos Library API, v1", https://www.googleapis.com/auth/photoslibrary.sharing
"Policy Troubleshooter API, v1", https://www.googleapis.com/auth/cloud-platform
"Recommender API, v1", https://www.googleapis.com/auth/cloud-platform
"Remote Build Execution API, v2", https://www.googleapis.com/auth/cloud-platform
"SAS Portal API, v1alpha1", https://www.googleapis.com/auth/userinfo.email
"SAS Portal API (Testing), v1alpha1", https://www.googleapis.com/auth/userinfo.email
"Search Ads 360 API, v2", https://www.googleapis.com/auth/doubleclicksearch
"Search Console API, v3", https://www.googleapis.com/auth/webmasters
"Search Console API, v3", https://www.googleapis.com/auth/webmasters.readonly
"Secret Manager API, v1", https://www.googleapis.com/auth/cloud-platform
"Security Command Center API, v1", https://www.googleapis.com/auth/cloud-platform
"Service Consumer Management API, v1", https://www.googleapis.com/auth/cloud-platform
"Service Management API, v1", https://www.googleapis.com/auth/cloud-platform
